,\textit{Water},\textit{Trees},\textit{Grass},\textit{Flood.},\textit{Crops},\textit{Shrub},\textit{Built},\textit{Bare},\textit{Snow}
alphaearth + tessera,0.18549873696950467,0.14735011201205422,0.1762652003106547,0.11173705767599335,0.23979116363220712,0.17620216460905927,0.15611201778892506,0.22150643865336161,0.09062566858643692
alphaearth + geoclip,-0.0036998572976796582,-0.014444409167387583,0.024532446388868652,-0.008808651309877055,0.038202831627019804,0.008934088516571877,0.004799845309882853,0.02468654599870294,0.09950862625628354
alphaearth + satclip,0.04327805512026995,0.04100671504154302,0.07332287884790506,0.030382968256350673,0.08559557226071023,0.07059405001593404,0.0333473596638241,0.08226610184274742,0.130079469931672
tessera + geoclip,-0.03330128994917231,-0.01805154950115042,0.016102381372108024,-0.024230000379419296,0.02296272105156403,0.009140512232296547,-0.025215758232330646,0.014346661374050699,0.07074248229338409
tessera + satclip,0.004731508285074071,0.026251217528455162,0.06648862344322144,0.02099284947343801,0.06856559299142208,0.0566320740231864,-0.003794550586619523,0.05000913330336585,0.09299910660229571
geoclip + satclip,-0.016863698173066353,-0.013610851259194295,0.011870715467146388,-0.03522168331293529,-0.005269191919984273,-0.004998702195659378,0.005343693214611614,0.2654327570752206,0.10738382540692915
All GFMs,0.14735963626820206,0.11552436875771743,0.1793466041696056,0.06799016569819599,0.2507123778662628,0.1721035991228428,0.12419836988327394,0.22698849943700705,0.16684683072561135
